========================================================================================================================
Training started at: 2026-04-07 06:43:22
Result directory: results/fl_cifar100/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_mu-0.001
Result txt file : results/fl_cifar100/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_mu-0.001/fedprox_fl_cifar100_20260407-064322-282931_pid4179823.txt
Result log file : results/fl_cifar100/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_mu-0.001/fedprox_fl_cifar100_20260407-064322-282931_pid4179823.log
------------------------------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_cifar100
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 210
Local epoch: 1
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedProx mu: 0.001
========================================================================================================================
[Round 099/210] Phase=standard | Stage=warmup | Acc=51.620 | RoundTime=33.42s | TotalTime=3497.99s | Method=fedprox
[Round 100/210] Phase=standard | Stage=warmup | Acc=51.790 | RoundTime=35.79s | TotalTime=3533.80s | Method=fedprox
[Round 101/210] Phase=standard | Stage=warmup | Acc=51.720 | RoundTime=35.75s | TotalTime=3569.55s | Method=fedprox
[Round 102/210] Phase=standard | Stage=warmup | Acc=51.940 | RoundTime=35.56s | TotalTime=3605.12s | Method=fedprox
[Round 103/210] Phase=standard | Stage=warmup | Acc=52.310 | RoundTime=35.52s | TotalTime=3640.65s | Method=fedprox
[Round 104/210] Phase=standard | Stage=warmup | Acc=52.400 | RoundTime=35.74s | TotalTime=3676.40s | Method=fedprox
[Round 105/210] Phase=standard | Stage=warmup | Acc=52.290 | RoundTime=35.57s | TotalTime=3711.98s | Method=fedprox
[Round 106/210] Phase=standard | Stage=warmup | Acc=51.890 | RoundTime=35.62s | TotalTime=3747.61s | Method=fedprox
[Round 107/210] Phase=standard | Stage=warmup | Acc=52.200 | RoundTime=36.09s | TotalTime=3783.71s | Method=fedprox
[Round 108/210] Phase=standard | Stage=warmup | Acc=52.430 | RoundTime=33.07s | TotalTime=3816.79s | Method=fedprox
[Round 109/210] Phase=standard | Stage=warmup | Acc=52.220 | RoundTime=35.43s | TotalTime=3852.23s | Method=fedprox
[Round 110/210] Phase=standard | Stage=warmup | Acc=52.800 | RoundTime=35.76s | TotalTime=3888.00s | Method=fedprox
[Round 111/210] Phase=standard | Stage=warmup | Acc=52.470 | RoundTime=35.17s | TotalTime=3923.18s | Method=fedprox
[Round 112/210] Phase=standard | Stage=warmup | Acc=52.940 | RoundTime=35.83s | TotalTime=3959.02s | Method=fedprox
[Round 113/210] Phase=standard | Stage=warmup | Acc=53.240 | RoundTime=35.74s | TotalTime=3994.77s | Method=fedprox
[Round 114/210] Phase=standard | Stage=warmup | Acc=52.970 | RoundTime=36.80s | TotalTime=4031.58s | Method=fedprox
[Round 115/210] Phase=standard | Stage=warmup | Acc=52.980 | RoundTime=35.65s | TotalTime=4067.24s | Method=fedprox
[Round 116/210] Phase=standard | Stage=warmup | Acc=53.000 | RoundTime=33.34s | TotalTime=4100.60s | Method=fedprox
[Round 117/210] Phase=standard | Stage=warmup | Acc=52.540 | RoundTime=35.54s | TotalTime=4136.15s | Method=fedprox
[Round 118/210] Phase=standard | Stage=warmup | Acc=53.100 | RoundTime=36.42s | TotalTime=4172.58s | Method=fedprox
[Round 119/210] Phase=standard | Stage=warmup | Acc=53.230 | RoundTime=35.61s | TotalTime=4208.20s | Method=fedprox
[Round 120/210] Phase=standard | Stage=warmup | Acc=53.060 | RoundTime=35.50s | TotalTime=4243.71s | Method=fedprox
[Round 121/210] Phase=standard | Stage=warmup | Acc=52.630 | RoundTime=35.54s | TotalTime=4279.26s | Method=fedprox
[Round 122/210] Phase=standard | Stage=warmup | Acc=53.470 | RoundTime=35.27s | TotalTime=4314.54s | Method=fedprox
[Round 123/210] Phase=standard | Stage=warmup | Acc=53.030 | RoundTime=36.95s | TotalTime=4351.50s | Method=fedprox
[Round 124/210] Phase=standard | Stage=warmup | Acc=53.280 | RoundTime=35.92s | TotalTime=4387.43s | Method=fedprox
[Round 125/210] Phase=standard | Stage=warmup | Acc=53.280 | RoundTime=33.44s | TotalTime=4420.87s | Method=fedprox
[Round 126/210] Phase=standard | Stage=warmup | Acc=53.250 | RoundTime=35.56s | TotalTime=4456.44s | Method=fedprox
[Round 127/210] Phase=standard | Stage=warmup | Acc=53.480 | RoundTime=35.43s | TotalTime=4491.88s | Method=fedprox
[Round 128/210] Phase=standard | Stage=warmup | Acc=53.400 | RoundTime=35.25s | TotalTime=4527.13s | Method=fedprox
[Round 129/210] Phase=standard | Stage=warmup | Acc=53.490 | RoundTime=36.17s | TotalTime=4563.31s | Method=fedprox
[Round 130/210] Phase=standard | Stage=warmup | Acc=53.210 | RoundTime=33.51s | TotalTime=4596.83s | Method=fedprox
[Round 131/210] Phase=standard | Stage=warmup | Acc=53.320 | RoundTime=35.37s | TotalTime=4632.20s | Method=fedprox
[Round 132/210] Phase=standard | Stage=warmup | Acc=53.410 | RoundTime=35.64s | TotalTime=4667.85s | Method=fedprox
[Round 133/210] Phase=standard | Stage=warmup | Acc=53.530 | RoundTime=35.43s | TotalTime=4703.30s | Method=fedprox
[Round 134/210] Phase=standard | Stage=warmup | Acc=54.110 | RoundTime=35.51s | TotalTime=4738.82s | Method=fedprox
[Round 135/210] Phase=standard | Stage=warmup | Acc=53.890 | RoundTime=35.93s | TotalTime=4774.77s | Method=fedprox
[Round 136/210] Phase=standard | Stage=warmup | Acc=53.430 | RoundTime=34.14s | TotalTime=4808.93s | Method=fedprox
[Round 137/210] Phase=standard | Stage=warmup | Acc=53.550 | RoundTime=35.50s | TotalTime=4844.43s | Method=fedprox
[Round 138/210] Phase=standard | Stage=warmup | Acc=53.610 | RoundTime=35.71s | TotalTime=4880.16s | Method=fedprox
[Round 139/210] Phase=standard | Stage=warmup | Acc=53.270 | RoundTime=35.63s | TotalTime=4915.80s | Method=fedprox
[Round 140/210] Phase=standard | Stage=warmup | Acc=53.260 | RoundTime=35.80s | TotalTime=4951.61s | Method=fedprox
[Round 141/210] Phase=standard | Stage=warmup | Acc=53.570 | RoundTime=36.31s | TotalTime=4987.94s | Method=fedprox
[Round 142/210] Phase=standard | Stage=warmup | Acc=53.520 | RoundTime=35.53s | TotalTime=5023.48s | Method=fedprox
[Round 143/210] Phase=standard | Stage=warmup | Acc=53.340 | RoundTime=35.65s | TotalTime=5059.15s | Method=fedprox
[Round 144/210] Phase=standard | Stage=warmup | Acc=53.850 | RoundTime=32.97s | TotalTime=5092.12s | Method=fedprox
[Round 145/210] Phase=standard | Stage=warmup | Acc=53.820 | RoundTime=35.47s | TotalTime=5127.61s | Method=fedprox
[Round 146/210] Phase=standard | Stage=warmup | Acc=53.430 | RoundTime=36.73s | TotalTime=5164.35s | Method=fedprox
[Round 147/210] Phase=standard | Stage=warmup | Acc=53.840 | RoundTime=35.48s | TotalTime=5199.84s | Method=fedprox
[Round 148/210] Phase=standard | Stage=warmup | Acc=53.110 | RoundTime=35.15s | TotalTime=5235.00s | Method=fedprox
[Round 149/210] Phase=standard | Stage=warmup | Acc=53.740 | RoundTime=35.66s | TotalTime=5270.67s | Method=fedprox
[Round 150/210] Phase=standard | Stage=warmup | Acc=53.590 | RoundTime=33.22s | TotalTime=5303.91s | Method=fedprox
[Round 151/210] Phase=standard | Stage=warmup | Acc=53.880 | RoundTime=31.89s | TotalTime=5335.80s | Method=fedprox
[Round 152/210] Phase=standard | Stage=warmup | Acc=53.730 | RoundTime=36.47s | TotalTime=5372.28s | Method=fedprox
[Round 153/210] Phase=standard | Stage=warmup | Acc=53.970 | RoundTime=33.20s | TotalTime=5405.49s | Method=fedprox
[Round 154/210] Phase=standard | Stage=warmup | Acc=53.500 | RoundTime=36.46s | TotalTime=5441.96s | Method=fedprox
[Round 155/210] Phase=standard | Stage=warmup | Acc=53.310 | RoundTime=35.34s | TotalTime=5477.32s | Method=fedprox
[Round 156/210] Phase=standard | Stage=warmup | Acc=53.680 | RoundTime=36.34s | TotalTime=5513.67s | Method=fedprox
[Round 157/210] Phase=standard | Stage=warmup | Acc=53.770 | RoundTime=35.23s | TotalTime=5548.92s | Method=fedprox
[Round 158/210] Phase=standard | Stage=warmup | Acc=53.340 | RoundTime=35.16s | TotalTime=5584.09s | Method=fedprox
