========================================================================================================================
Training started at: 2026-04-09 07:01:56
Result directory: results/fl_mnist/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_rho-0.05_beta-1.0_slr-1.0
Result txt file : results/fl_mnist/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_rho-0.05_beta-1.0_slr-1.0/fedgloss_fl_mnist_20260409-070156-656617_pid4009500.txt
Result log file : results/fl_mnist/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_rho-0.05_beta-1.0_slr-1.0/fedgloss_fl_mnist_20260409-070156-656617_pid4009500.log
------------------------------------------------------------------------------------------------------------------------
Model: fedgloss
Dataset: fl_mnist
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 210
Local epoch: 1
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedGLoSS rho: 0.05
FedGLoSS beta: 1.0
FedGLoSS server lr: 1.0
========================================================================================================================
[Round 086/210] Phase=standard | Stage=warmup | Acc=99.020 | RoundTime=31.42s | TotalTime=2669.31s | Method=fedgloss
[Round 087/210] Phase=standard | Stage=warmup | Acc=99.090 | RoundTime=32.26s | TotalTime=2701.59s | Method=fedgloss
[Round 088/210] Phase=standard | Stage=warmup | Acc=98.960 | RoundTime=30.38s | TotalTime=2732.05s | Method=fedgloss
[Round 089/210] Phase=standard | Stage=warmup | Acc=98.980 | RoundTime=30.88s | TotalTime=2762.95s | Method=fedgloss
[Round 090/210] Phase=standard | Stage=warmup | Acc=98.940 | RoundTime=31.41s | TotalTime=2794.41s | Method=fedgloss
[Round 091/210] Phase=standard | Stage=warmup | Acc=98.940 | RoundTime=31.29s | TotalTime=2825.72s | Method=fedgloss
[Round 092/210] Phase=standard | Stage=warmup | Acc=98.910 | RoundTime=30.76s | TotalTime=2856.48s | Method=fedgloss
[Round 093/210] Phase=standard | Stage=warmup | Acc=98.840 | RoundTime=31.82s | TotalTime=2888.32s | Method=fedgloss
[Round 094/210] Phase=standard | Stage=warmup | Acc=98.880 | RoundTime=31.69s | TotalTime=2920.02s | Method=fedgloss
[Round 095/210] Phase=standard | Stage=warmup | Acc=98.850 | RoundTime=31.71s | TotalTime=2951.74s | Method=fedgloss
[Round 096/210] Phase=standard | Stage=warmup | Acc=98.810 | RoundTime=31.37s | TotalTime=2983.12s | Method=fedgloss
[Round 097/210] Phase=standard | Stage=warmup | Acc=98.760 | RoundTime=31.93s | TotalTime=3015.06s | Method=fedgloss
[Round 098/210] Phase=standard | Stage=warmup | Acc=98.780 | RoundTime=31.77s | TotalTime=3046.85s | Method=fedgloss
[Round 099/210] Phase=standard | Stage=warmup | Acc=98.750 | RoundTime=32.16s | TotalTime=3079.02s | Method=fedgloss
[Round 100/210] Phase=standard | Stage=warmup | Acc=98.640 | RoundTime=31.97s | TotalTime=3111.00s | Method=fedgloss
[Round 101/210] Phase=standard | Stage=warmup | Acc=98.780 | RoundTime=30.71s | TotalTime=3141.72s | Method=fedgloss
[Round 102/210] Phase=standard | Stage=warmup | Acc=98.670 | RoundTime=33.19s | TotalTime=3174.92s | Method=fedgloss
[Round 103/210] Phase=standard | Stage=warmup | Acc=98.600 | RoundTime=31.75s | TotalTime=3206.68s | Method=fedgloss
[Round 104/210] Phase=standard | Stage=warmup | Acc=98.430 | RoundTime=31.07s | TotalTime=3237.76s | Method=fedgloss
[Round 105/210] Phase=standard | Stage=warmup | Acc=98.480 | RoundTime=31.40s | TotalTime=3269.17s | Method=fedgloss
[Round 106/210] Phase=standard | Stage=warmup | Acc=98.510 | RoundTime=31.12s | TotalTime=3300.30s | Method=fedgloss
[Round 107/210] Phase=standard | Stage=warmup | Acc=98.470 | RoundTime=32.47s | TotalTime=3332.78s | Method=fedgloss
[Round 108/210] Phase=standard | Stage=warmup | Acc=98.270 | RoundTime=31.53s | TotalTime=3364.33s | Method=fedgloss
[Round 109/210] Phase=standard | Stage=warmup | Acc=98.330 | RoundTime=31.34s | TotalTime=3395.67s | Method=fedgloss
[Round 110/210] Phase=standard | Stage=warmup | Acc=98.200 | RoundTime=31.16s | TotalTime=3426.84s | Method=fedgloss
[Round 111/210] Phase=standard | Stage=warmup | Acc=98.210 | RoundTime=31.91s | TotalTime=3458.75s | Method=fedgloss
[Round 112/210] Phase=standard | Stage=warmup | Acc=98.140 | RoundTime=32.01s | TotalTime=3490.77s | Method=fedgloss
[Round 113/210] Phase=standard | Stage=warmup | Acc=98.060 | RoundTime=30.54s | TotalTime=3521.32s | Method=fedgloss
[Round 114/210] Phase=standard | Stage=warmup | Acc=97.950 | RoundTime=30.51s | TotalTime=3551.84s | Method=fedgloss
[Round 115/210] Phase=standard | Stage=warmup | Acc=97.660 | RoundTime=32.66s | TotalTime=3584.51s | Method=fedgloss
[Round 116/210] Phase=standard | Stage=warmup | Acc=97.490 | RoundTime=32.14s | TotalTime=3616.66s | Method=fedgloss
[Round 117/210] Phase=standard | Stage=warmup | Acc=97.570 | RoundTime=32.23s | TotalTime=3648.89s | Method=fedgloss
[Round 118/210] Phase=standard | Stage=warmup | Acc=97.410 | RoundTime=30.92s | TotalTime=3679.82s | Method=fedgloss
[Round 119/210] Phase=standard | Stage=warmup | Acc=97.530 | RoundTime=31.07s | TotalTime=3710.90s | Method=fedgloss
[Round 120/210] Phase=standard | Stage=warmup | Acc=97.520 | RoundTime=31.96s | TotalTime=3742.87s | Method=fedgloss
[Round 121/210] Phase=standard | Stage=warmup | Acc=97.160 | RoundTime=31.74s | TotalTime=3774.62s | Method=fedgloss
[Round 122/210] Phase=standard | Stage=warmup | Acc=97.130 | RoundTime=31.81s | TotalTime=3806.44s | Method=fedgloss
[Round 123/210] Phase=standard | Stage=warmup | Acc=96.910 | RoundTime=31.32s | TotalTime=3837.77s | Method=fedgloss
[Round 124/210] Phase=standard | Stage=warmup | Acc=96.770 | RoundTime=31.62s | TotalTime=3869.41s | Method=fedgloss
[Round 125/210] Phase=standard | Stage=warmup | Acc=96.550 | RoundTime=32.06s | TotalTime=3901.48s | Method=fedgloss
[Round 126/210] Phase=standard | Stage=warmup | Acc=96.260 | RoundTime=31.44s | TotalTime=3932.93s | Method=fedgloss
[Round 127/210] Phase=standard | Stage=warmup | Acc=95.970 | RoundTime=31.08s | TotalTime=3964.02s | Method=fedgloss
[Round 128/210] Phase=standard | Stage=warmup | Acc=96.280 | RoundTime=30.82s | TotalTime=3994.85s | Method=fedgloss
[Round 129/210] Phase=standard | Stage=warmup | Acc=95.600 | RoundTime=31.37s | TotalTime=4026.23s | Method=fedgloss
[Round 130/210] Phase=standard | Stage=warmup | Acc=96.020 | RoundTime=31.60s | TotalTime=4057.84s | Method=fedgloss
[Round 131/210] Phase=standard | Stage=warmup | Acc=95.760 | RoundTime=31.52s | TotalTime=4089.37s | Method=fedgloss
[Round 132/210] Phase=standard | Stage=warmup | Acc=95.440 | RoundTime=31.39s | TotalTime=4120.77s | Method=fedgloss
[Round 133/210] Phase=standard | Stage=warmup | Acc=94.890 | RoundTime=31.16s | TotalTime=4151.94s | Method=fedgloss
[Round 134/210] Phase=standard | Stage=warmup | Acc=95.280 | RoundTime=32.92s | TotalTime=4184.88s | Method=fedgloss
[Round 135/210] Phase=standard | Stage=warmup | Acc=95.570 | RoundTime=31.79s | TotalTime=4216.67s | Method=fedgloss
[Round 136/210] Phase=standard | Stage=warmup | Acc=95.030 | RoundTime=32.26s | TotalTime=4248.95s | Method=fedgloss
[Round 137/210] Phase=standard | Stage=warmup | Acc=94.470 | RoundTime=31.86s | TotalTime=4280.82s | Method=fedgloss
[Round 138/210] Phase=standard | Stage=warmup | Acc=94.290 | RoundTime=30.68s | TotalTime=4311.51s | Method=fedgloss
[Round 139/210] Phase=standard | Stage=warmup | Acc=94.460 | RoundTime=32.33s | TotalTime=4343.84s | Method=fedgloss
[Round 140/210] Phase=standard | Stage=warmup | Acc=94.510 | RoundTime=31.28s | TotalTime=4375.13s | Method=fedgloss
[Round 141/210] Phase=standard | Stage=warmup | Acc=94.200 | RoundTime=30.91s | TotalTime=4406.05s | Method=fedgloss
[Round 142/210] Phase=standard | Stage=warmup | Acc=94.020 | RoundTime=30.85s | TotalTime=4436.92s | Method=fedgloss
[Round 143/210] Phase=standard | Stage=warmup | Acc=93.960 | RoundTime=32.05s | TotalTime=4468.97s | Method=fedgloss
[Round 144/210] Phase=standard | Stage=warmup | Acc=94.190 | RoundTime=31.26s | TotalTime=4500.25s | Method=fedgloss
[Round 145/210] Phase=standard | Stage=warmup | Acc=93.990 | RoundTime=32.32s | TotalTime=4532.65s | Method=fedgloss
